hour,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,21,34,43,47,51,89,106
0.1,39,22,27,37,56,87,100
0.2,31,24,26,42,50,98,77
0.3,26,27,25,29,52,99,87
0.4,19,24,29,29,50,98,69
0.5,16,23,20,25,52,70,58
0.6,21,14,22,25,42,58,83
0.7,16,10,17,17,32,64,61
0.8,11,8,13,17,27,71,61
0.9,11,8,6,15,33,66,63
1,8,9,15,9,26,66,68
1.1,6,11,11,9,37,58,65
1.2,14,12,13,14,38,61,59
1.3,8,5,10,17,20,45,63
1.4,10,10,3,16,23,55,59
1.5,6,4,9,9,26,49,75
1.6,4,4,14,10,25,48,65
1.7,5,5,8,15,25,51,63
1.8,4,4,5,4,25,39,62
1.9,3,4,6,6,19,43,55
2,3,10,5,9,22,52,55
2.1,4,10,6,5,23,43,43
2.2,1,10,5,7,18,36,50
2.3,4,3,5,8,21,36,46
2.4,4,3,5,2,24,43,36
2.5,5,2,3,7,11,30,34
2.6,6,2,2,1,8,24,43
2.7,3,2,2,2,11,25,36
2.8,5,2,2,3,9,33,25
2.9,2,0,4,1,8,33,38
3,0,1,3,1,15,21,47
3.1,3,2,1,3,8,27,44
3.2,1,0,4,1,2,17,36
3.3,2,1,3,2,9,16,17
3.4,3,4,1,4,6,16,16
3.5,2,2,2,2,3,17,24
3.6,4,3,3,2,2,9,23
3.7,5,2,3,1,7,6,22
3.8,5,6,3,2,6,16,16
3.9,2,3,3,2,7,13,16
4,1,2,2,3,5,6,7
4.1,2,3,2,2,3,7,6
4.2,2,1,1,5,3,9,9
4.3,0,3,0,5,2,7,11
4.4,1,6,4,3,2,3,5
4.5,2,2,5,2,0,3,3
4.6,5,2,3,7,3,3,8
4.7,7,5,9,5,10,3,5
4.8,9,11,14,8,10,5,2
4.9,11,14,20,9,10,5,5
5,17,11,23,10,14,2,6
5.1,14,20,26,18,30,2,4
5.2,28,37,34,28,26,2,6
5.3,37,47,61,58,42,6,5
5.4,32,68,66,67,52,9,9
5.5,51,67,85,74,69,7,2
5.6,53,55,66,68,82,9,5
5.7,90,86,108,123,93,8,6
5.8,93,112,110,120,97,18,12
5.9,105,139,132,135,102,15,10
6,105,111,145,120,109,20,9
6.1,95,125,158,124,103,14,16
6.2,135,158,164,167,132,24,13
6.3,149,166,203,180,169,17,10
6.4,149,175,187,211,131,41,19
6.5,156,195,200,238,151,39,13
6.6,205,252,290,255,193,40,14
6.7,210,272,351,352,260,48,20
6.8,218,277,336,339,257,37,31
6.9,240,286,363,370,280,55,30
7,273,320,406,389,275,69,26
7.1,324,367,482,466,378,59,29
7.2,398,460,517,514,335,70,33
7.3,369,430,504,545,387,68,39
7.4,433,434,608,613,435,60,37
7.5,491,528,647,644,535,69,50
7.6,532,589,733,740,514,82,46
7.7,603,646,793,836,635,108,60
7.8,642,763,915,910,680,104,81
7.9,676,727,893,905,756,104,76
8,736,756,906,1021,792,127,74
8.1,761,804,984,1031,796,134,105
8.2,803,865,1130,1140,890,127,95
8.3,914,924,1083,1178,975,145,97
8.4,826,966,1121,1229,988,161,103
8.5,919,1003,1135,1233,1021,148,120
8.6,886,986,1092,1249,1095,239,161
8.7,917,983,1125,1223,1108,261,141
8.8,868,949,1035,1094,1075,228,150
8.9,770,822,903,898,883,185,134
9,694,582,709,834,725,200,116
9.1,569,569,667,703,640,209,144
9.2,532,534,640,688,597,238,155
9.3,481,478,521,588,570,223,161
9.4,433,387,436,492,486,308,189
9.5,331,367,399,430,385,274,197
9.6,304,339,383,392,411,341,232
9.7,287,279,341,370,363,384,253
